time(s),ADRC u
0,0
0.005,0
0.01,12.6193
0.015,4.43974
0.02,11.9489
0.025,5.34238
0.03,12.2128
0.035,6.41317
0.04,13.4705
0.045,7.47399
0.05,15.8202
0.055,8.20406
0.06,19.6371
0.065,7.73567
0.07,24.9105
0.075,5.02908
0.08,32.4602
0.085,1.77714
0.09,8.49981
0.095,1.5704
0.1,2.53778
0.105,3.69157
0.11,4.47341
0.115,4.79204
0.12,5.0284
0.125,5.1463
0.13,5.1695
0.135,5.10445
0.14,4.96099
0.145,4.74914
0.15,4.48358
0.155,4.2645
0.16,3.97111
0.165,3.54294
0.17,4.01172
0.175,13.2191
0.18,6.82773
0.185,9.41467
0.19,7.01993
0.195,6.66887
0.2,5.58365
0.205,4.99922
0.21,4.28625
0.215,2.83921
0.22,1.80933
0.225,1.19872
0.23,0.588769
0.235,0.100438
0.24,-0.340758
0.245,-0.701818
0.25,-1.0141
0.255,-1.26339
0.26,-1.46932
0.265,-1.62365
0.27,-1.74172
0.275,-1.81748
0.28,-1.86428
0.285,-1.87691
0.29,-1.86753
0.295,-1.83129
0.3,-1.77931
0.305,-1.70701
0.31,-1.62443
0.315,-1.5273
0.32,-1.42454
0.325,-1.3122
0.33,-1.19805
0.335,-1.07848
0.34,-0.960165
0.345,-0.839816
0.35,-0.723093
0.355,-0.606961
0.36,-0.496209
0.365,-0.388006
0.37,-0.28639
0.375,-0.188669
0.38,-0.098273
0.385,-0.0126166
0.39,0.0653725
0.395,0.138209
0.4,0.203354
0.405,0.263283
0.41,0.315754
0.415,0.363193
0.42,0.403609
0.425,0.439381
0.43,0.468695
0.435,0.493891
0.44,0.513279
0.445,0.529162
0.45,0.539926
0.455,0.547839
0.46,0.551331
0.465,0.552627
0.47,0.550176
0.475,0.546167
0.48,0.539044
0.485,0.530947
0.49,0.520307
0.495,0.509223
0.5,0.496102
0.505,0.483
0.51,0.468288
0.515,0.453989
0.52,0.438434
0.525,0.423617
0.53,0.407828
0.535,0.393034
0.54,0.377489
0.545,0.363126
0.55,0.348181
0.555,0.334552
0.56,0.320454
0.565,0.307765
0.57,0.294671
0.575,0.283035
0.58,0.271032
0.585,0.260499
0.59,0.249604
0.595,0.240171
0.6,0.23036
0.605,0.22198
0.61,0.213189
0.615,0.205784
0.62,0.197928
0.625,0.191403
0.63,0.184383
0.635,0.178631
0.64,0.172331
0.645,0.16724
0.65,0.161551
0.655,0.157009
0.66,0.151826
0.665,0.147729
0.67,0.14295
0.675,0.139201
0.68,0.134727
0.685,0.131237
0.69,0.126992
0.695,0.123684
0.7,0.119596
0.705,0.116406
0.71,0.112415
0.715,0.109287
0.72,0.105346
0.725,0.102243
0.73,0.0983143
0.735,0.0952015
0.74,0.0912585
0.745,0.088109
0.75,0.0841314
0.755,0.0809312
0.76,0.0769036
0.765,0.0736462
0.77,0.0695673
0.775,0.0662487
0.78,0.0621096
0.785,0.0587272
0.79,0.0545352
0.795,0.0510934
0.8,0.0468515
0.805,0.0433551
0.81,0.0390738
0.815,0.035531
0.82,0.0312114
0.825,0.0276307
0.83,0.0232859
0.835,0.0196756
0.84,0.015313
0.845,0.0116824
0.85,0.00730628
0.855,0.00366175
0.86,-0.000717014
0.865,-0.00436461
0.87,-0.00873789
0.875,-0.0123879
0.88,-0.0167545
0.885,-0.020397
0.89,-0.0247473
0.895,-0.0283816
0.9,-0.0327134
0.905,-0.0363324
0.91,-0.0406437
0.915,-0.0442451
0.92,-0.04853
0.925,-0.0521113
0.93,-0.0563708
0.935,-0.0599343
0.94,-0.0641656
0.945,-0.0677087
0.95,-0.0719145
0.955,-0.0754347
0.96,-0.0796136
0.965,-0.0831134
0.97,-0.087263
0.975,-0.0907411
0.98,-0.0948679
0.985,-0.0983268
0.99,-0.102426
0.995,-0.105865
1,-0.109938
1.005,-0.11336
1.01,-0.117411
1.015,-0.120818
1.02,-0.124847
1.025,-0.128234
1.03,-0.132243
1.035,-0.135618
1.04,-0.139606
1.045,-0.142968
1.05,-0.146939
1.055,-0.150287
1.06,-0.15424
1.065,-0.157576
1.07,-0.161514
1.075,-0.164839
1.08,-0.168761
1.085,-0.175727
1.09,-0.180913
1.095,-0.184062
1.1,-0.18796
1.105,-0.191354
1.11,-0.195399
1.115,-0.198941
1.12,-0.203113
1.125,-0.206779
1.13,-0.211051
1.135,-0.214813
1.14,-0.219164
1.145,-0.223002
1.15,-0.22741
1.155,-0.231301
1.16,-0.235742
1.165,-0.239664
1.17,-0.244126
1.175,-0.248067
1.18,-0.252528
1.185,-0.256474
1.19,-0.260926
1.195,-0.264863
1.2,-0.269294
1.205,-0.273216
1.21,-0.277621
1.215,-0.28152
1.22,-0.285894
1.225,-0.289767
1.23,-0.294103
1.235,-0.297944
1.24,-0.302244
1.245,-0.306053
1.25,-0.310312
1.255,-0.314091
1.26,-0.31831
1.265,-0.322056
1.27,-0.326235
1.275,-0.32995
1.28,-0.334094
1.285,-0.33778
1.29,-0.341886
1.295,-0.345545
1.3,-0.349618
1.305,-0.35325
1.31,-0.357291
1.315,-0.360899
1.32,-0.364912
1.325,-0.368501
1.33,-0.372486
1.335,-0.376054
1.34,-0.380012
1.345,-0.383562
1.35,-0.387496
1.355,-0.391029
1.36,-0.394942
1.365,-0.398458
1.37,-0.402348
1.375,-0.405849
1.38,-0.409718
1.385,-0.413207
1.39,-0.417055
1.395,-0.420531
