time(s),ADRC y best
0,0
0.005,0
0.01,0
0.015,0.00199947
0.02,0.00820436
0.025,0.0183299
0.03,0.0315108
0.035,0.0470889
0.04,0.0644855
0.045,0.0832025
0.05,0.102813
0.055,0.122953
0.06,0.143307
0.065,0.163614
0.07,0.183689
0.075,0.203267
0.08,0.221982
0.085,0.239559
0.09,0.255862
0.095,0.270849
0.1,0.28453
0.105,0.296949
0.11,0.308165
0.115,0.318249
0.12,0.327281
0.125,0.335344
0.13,0.342521
0.135,0.348895
0.14,0.354547
0.145,0.359554
0.15,0.363989
0.155,0.367921
0.16,0.371412
0.165,0.374523
0.17,0.377304
0.175,0.379806
0.18,0.38207
0.185,0.384136
0.19,0.386037
0.195,0.387803
0.2,0.389462
0.205,0.391035
0.21,0.392542
0.215,0.394001
0.22,0.395425
0.225,0.396827
0.23,0.398215
0.235,0.399599
0.24,0.400986
0.245,0.40238
0.25,0.403785
0.255,0.405205
0.26,0.406643
0.265,0.4081
0.27,0.409576
0.275,0.411074
0.28,0.412593
0.285,0.414133
0.29,0.415694
0.295,0.417275
0.3,0.418877
0.305,0.420498
0.31,0.422138
0.315,0.423796
0.32,0.425472
0.325,0.427164
0.33,0.428873
0.335,0.430596
0.34,0.432335
0.345,0.434087
0.35,0.435854
0.355,0.437633
0.36,0.439425
0.365,0.441228
0.37,0.443044
0.375,0.444871
0.38,0.446709
0.385,0.448558
0.39,0.450417
0.395,0.452286
0.4,0.454165
0.405,0.456053
0.41,0.457951
0.415,0.459858
0.42,0.461775
0.425,0.4637
0.43,0.465634
0.435,0.467577
0.44,0.469528
0.445,0.471487
0.45,0.473455
0.455,0.475431
0.46,0.477415
0.465,0.479406
0.47,0.481406
0.475,0.483413
0.48,0.485428
0.485,0.48745
0.49,0.48948
0.495,0.491517
0.5,0.493561
0.505,0.495613
0.51,0.497671
0.515,0.499737
0.52,0.501809
0.525,0.503888
0.53,0.505973
0.535,0.508065
0.54,0.510164
0.545,0.512269
0.55,0.51438
0.555,0.516498
0.56,0.518621
0.565,0.520751
0.57,0.522886
0.575,0.525027
0.58,0.527175
0.585,0.529327
0.59,0.531485
0.595,0.533649
0.6,0.535818
0.605,0.537993
0.61,0.540172
0.615,0.542357
0.62,0.544547
0.625,0.546741
0.63,0.548941
0.635,0.551145
0.64,0.553354
0.645,0.555568
0.65,0.557786
0.655,0.560009
0.66,0.562235
0.665,0.564467
0.67,0.566702
0.675,0.568941
0.68,0.571185
0.685,0.573432
0.69,0.575683
0.695,0.577938
0.7,0.580197
0.705,0.582459
0.71,0.584725
0.715,0.586994
0.72,0.589266
0.725,0.591542
0.73,0.593821
0.735,0.596103
0.74,0.598388
0.745,0.600676
0.75,0.602967
0.755,0.605261
0.76,0.607557
0.765,0.609856
0.77,0.612158
0.775,0.614462
0.78,0.616769
0.785,0.619078
0.79,0.621389
0.795,0.623702
0.8,0.626018
0.805,0.628335
0.81,0.630655
0.815,0.632976
0.82,0.635299
0.825,0.637624
0.83,0.639951
0.835,0.642279
0.84,0.644609
0.845,0.64694
0.85,0.649272
0.855,0.651606
0.86,0.653941
0.865,0.656277
0.87,0.658615
0.875,0.660953
0.88,0.663292
0.885,0.665632
0.89,0.667973
0.895,0.670315
0.9,0.672657
0.905,0.675
0.91,0.677343
0.915,0.679687
0.92,0.682031
0.925,0.684376
0.93,0.68672
0.935,0.689065
0.94,0.69141
0.945,0.693755
0.95,0.6961
0.955,0.698445
0.96,0.70079
0.965,0.703134
0.97,0.705479
0.975,0.707822
0.98,0.710166
0.985,0.712509
0.99,0.714851
0.995,0.717193
1,0.719534
1.005,0.721874
1.01,0.724213
1.015,0.726551
1.02,0.728889
1.025,0.731225
1.03,0.73356
1.035,0.735895
1.04,0.738227
1.045,0.740559
1.05,0.742889
1.055,0.745218
1.06,0.747545
1.065,0.749871
1.07,0.752195
1.075,0.754517
1.08,0.756838
1.085,0.759156
1.09,0.761473
1.095,0.763788
1.1,0.766101
1.105,0.768412
1.11,0.77072
1.115,0.773027
1.12,0.775331
1.125,0.777633
1.13,0.779932
1.135,0.782229
1.14,0.784523
1.145,0.786815
1.15,0.789104
1.155,0.79139
1.16,0.793674
1.165,0.795954
1.17,0.798232
1.175,0.800507
1.18,0.802778
1.185,0.805047
1.19,0.807312
1.195,0.809574
1.2,0.811833
1.205,0.814088
1.21,0.81634
1.215,0.818588
1.22,0.820833
1.225,0.823074
1.23,0.825312
1.235,0.827545
1.24,0.829775
1.245,0.832001
1.25,0.834223
1.255,0.83644
1.26,0.838654
1.265,0.840863
1.27,0.843069
1.275,0.845269
1.28,0.847466
1.285,0.849658
1.29,0.851845
1.295,0.854028
1.3,0.856206
1.305,0.85838
1.31,0.860548
1.315,0.862712
1.32,0.864871
1.325,0.867024
1.33,0.869173
1.335,0.871317
1.34,0.873455
1.345,0.875588
1.35,0.877715
1.355,0.879837
1.36,0.881954
1.365,0.884065
1.37,0.88617
1.375,0.888269
1.38,0.890363
1.385,0.89245
1.39,0.894532
1.395,0.896607
1.4,0.898677
1.405,0.90074
1.41,0.902797
1.415,0.904847
1.42,0.906889
1.425,0.908922
1.43,0.910945
1.435,0.912959
1.44,0.914962
1.445,0.916955
1.45,0.918938
1.455,0.920911
1.46,0.922874
1.465,0.924827
1.47,0.92677
1.475,0.928703
1.48,0.930626
1.485,0.932538
1.49,0.934441
1.495,0.936332
